"outlier","date","value","perceel","band","sd","nr_beelden"
0,2017.31420765027,"max90",879844,1,2.5,6
0,2017.22950819672,"min10",879844,1,2.5,6
0,2017.24590163934,"min10",879844,1,2.5,6
0,2017.27049180328,"min10",879844,1,2.5,6
0,2017.41530054645,"min10",879844,1,2.5,6
0,2017.67486338798,"min10",879844,1,2.5,6
0,2017.31420765027,"min10",879844,1,2.5,6
0,2017.22950819672,"mut_high",879844,1,3,6
0,2017.24590163934,"mut_high",879844,1,3,6
0,2017.27049180328,"mut_high",879844,1,3,6
0,2017.41530054645,"mut_high",879844,1,3,6
0,2017.67486338798,"mut_high",879844,1,3,6
0,2017.31420765027,"mut_high",879844,1,3,6
0,2017.22950819672,"mut_low",879844,1,3,6
0,2017.24590163934,"mut_low",879844,1,3,6
0,2017.27049180328,"mut_low",879844,1,3,6
0,2017.41530054645,"mut_low",879844,1,3,6
0,2017.67486338798,"mut_low",879844,1,3,6
0,2017.31420765027,"mut_low",879844,1,3,6
0,2017.22950819672,"difmax",879844,1,3,6
0,2017.24590163934,"difmax",879844,1,3,6
0,2017.27049180328,"difmax",879844,1,3,6
0,2017.41530054645,"difmax",879844,1,3,6
0,2017.67486338798,"difmax",879844,1,3,6
0,2017.31420765027,"difmax",879844,1,3,6
0,2017.22950819672,"difmin",879844,1,3,6
0,2017.24590163934,"difmin",879844,1,3,6
0,2017.27049180328,"difmin",879844,1,3,6
0,2017.41530054645,"difmin",879844,1,3,6
0,2017.67486338798,"difmin",879844,1,3,6
0,2017.31420765027,"difmin",879844,1,3,6
0,2017.22950819672,"max90",879844,1,3,6
0,2017.24590163934,"max90",879844,1,3,6
0,2017.27049180328,"max90",879844,1,3,6
0,2017.41530054645,"max90",879844,1,3,6
0,2017.67486338798,"max90",879844,1,3,6
0,2017.31420765027,"max90",879844,1,3,6
0,2017.22950819672,"min10",879844,1,3,6
0,2017.24590163934,"min10",879844,1,3,6
0,2017.27049180328,"min10",879844,1,3,6
0,2017.41530054645,"min10",879844,1,3,6
0,2017.67486338798,"min10",879844,1,3,6
0,2017.31420765027,"min10",879844,1,3,6
0,2017.22950819672,"mut_high",879844,2,1.5,6
0,2017.24590163934,"mut_high",879844,2,1.5,6
0,2017.27049180328,"mut_high",879844,2,1.5,6
0,2017.41530054645,"mut_high",879844,2,1.5,6
0,2017.67486338798,"mut_high",879844,2,1.5,6
0,2017.31420765027,"mut_high",879844,2,1.5,6
0,2017.22950819672,"mut_low",879844,2,1.5,6
0,2017.24590163934,"mut_low",879844,2,1.5,6
0,2017.27049180328,"mut_low",879844,2,1.5,6
0,2017.41530054645,"mut_low",879844,2,1.5,6
0,2017.67486338798,"mut_low",879844,2,1.5,6
0,2017.31420765027,"mut_low",879844,2,1.5,6
0,2017.22950819672,"difmax",879844,2,1.5,6
0,2017.24590163934,"difmax",879844,2,1.5,6
0,2017.27049180328,"difmax",879844,2,1.5,6
0,2017.41530054645,"difmax",879844,2,1.5,6
0,2017.67486338798,"difmax",879844,2,1.5,6
1,2017.31420765027,"difmax",879844,2,1.5,6
0,2017.22950819672,"difmin",879844,2,1.5,6
0,2017.24590163934,"difmin",879844,2,1.5,6
0,2017.27049180328,"difmin",879844,2,1.5,6
0,2017.41530054645,"difmin",879844,2,1.5,6
0,2017.67486338798,"difmin",879844,2,1.5,6
0,2017.31420765027,"difmin",879844,2,1.5,6
1,2017.22950819672,"max90",879844,2,1.5,6
0,2017.24590163934,"max90",879844,2,1.5,6
0,2017.27049180328,"max90",879844,2,1.5,6
0,2017.41530054645,"max90",879844,2,1.5,6
0,2017.67486338798,"max90",879844,2,1.5,6
0,2017.31420765027,"max90",879844,2,1.5,6
0,2017.22950819672,"min10",879844,2,1.5,6
0,2017.24590163934,"min10",879844,2,1.5,6
0,2017.27049180328,"min10",879844,2,1.5,6
0,2017.41530054645,"min10",879844,2,1.5,6
0,2017.67486338798,"min10",879844,2,1.5,6
0,2017.31420765027,"min10",879844,2,1.5,6
0,2017.22950819672,"mut_high",879844,2,2,6
0,2017.24590163934,"mut_high",879844,2,2,6
0,2017.27049180328,"mut_high",879844,2,2,6
0,2017.41530054645,"mut_high",879844,2,2,6
0,2017.67486338798,"mut_high",879844,2,2,6
0,2017.31420765027,"mut_high",879844,2,2,6
0,2017.22950819672,"mut_low",879844,2,2,6
0,2017.24590163934,"mut_low",879844,2,2,6
0,2017.27049180328,"mut_low",879844,2,2,6
0,2017.41530054645,"mut_low",879844,2,2,6
0,2017.67486338798,"mut_low",879844,2,2,6
0,2017.31420765027,"mut_low",879844,2,2,6
0,2017.22950819672,"difmax",879844,2,2,6
0,2017.24590163934,"difmax",879844,2,2,6
0,2017.27049180328,"difmax",879844,2,2,6
0,2017.41530054645,"difmax",879844,2,2,6
0,2017.67486338798,"difmax",879844,2,2,6
0,2017.31420765027,"difmax",879844,2,2,6
0,2017.22950819672,"difmin",879844,2,2,6
0,2017.24590163934,"difmin",879844,2,2,6
0,2017.27049180328,"difmin",879844,2,2,6
0,2017.41530054645,"difmin",879844,2,2,6
0,2017.67486338798,"difmin",879844,2,2,6
0,2017.31420765027,"difmin",879844,2,2,6
0,2017.22950819672,"max90",879844,2,2,6
0,2017.24590163934,"max90",879844,2,2,6
0,2017.27049180328,"max90",879844,2,2,6
0,2017.41530054645,"max90",879844,2,2,6
0,2017.67486338798,"max90",879844,2,2,6
0,2017.31420765027,"max90",879844,2,2,6
0,2017.22950819672,"min10",879844,2,2,6
0,2017.24590163934,"min10",879844,2,2,6
0,2017.27049180328,"min10",879844,2,2,6
0,2017.41530054645,"min10",879844,2,2,6
0,2017.67486338798,"min10",879844,2,2,6
0,2017.31420765027,"min10",879844,2,2,6
0,2017.22950819672,"mut_high",879844,2,2.5,6
0,2017.24590163934,"mut_high",879844,2,2.5,6
0,2017.27049180328,"mut_high",879844,2,2.5,6
0,2017.41530054645,"mut_high",879844,2,2.5,6
0,2017.67486338798,"mut_high",879844,2,2.5,6
0,2017.31420765027,"mut_high",879844,2,2.5,6
0,2017.22950819672,"mut_low",879844,2,2.5,6
0,2017.24590163934,"mut_low",879844,2,2.5,6
0,2017.27049180328,"mut_low",879844,2,2.5,6
0,2017.41530054645,"mut_low",879844,2,2.5,6
0,2017.67486338798,"mut_low",879844,2,2.5,6
0,2017.31420765027,"mut_low",879844,2,2.5,6
0,2017.22950819672,"difmax",879844,2,2.5,6
0,2017.24590163934,"difmax",879844,2,2.5,6
0,2017.27049180328,"difmax",879844,2,2.5,6
0,2017.41530054645,"difmax",879844,2,2.5,6
0,2017.67486338798,"difmax",879844,2,2.5,6
0,2017.31420765027,"difmax",879844,2,2.5,6
0,2017.22950819672,"difmin",879844,2,2.5,6
0,2017.24590163934,"difmin",879844,2,2.5,6
0,2017.27049180328,"difmin",879844,2,2.5,6
0,2017.41530054645,"difmin",879844,2,2.5,6
0,2017.67486338798,"difmin",879844,2,2.5,6
0,2017.31420765027,"difmin",879844,2,2.5,6
0,2017.22950819672,"max90",879844,2,2.5,6
0,2017.24590163934,"max90",879844,2,2.5,6
0,2017.27049180328,"max90",879844,2,2.5,6
0,2017.41530054645,"max90",879844,2,2.5,6
0,2017.67486338798,"max90",879844,2,2.5,6
0,2017.31420765027,"max90",879844,2,2.5,6
0,2017.22950819672,"min10",879844,2,2.5,6
0,2017.24590163934,"min10",879844,2,2.5,6
0,2017.27049180328,"min10",879844,2,2.5,6
0,2017.41530054645,"min10",879844,2,2.5,6
0,2017.67486338798,"min10",879844,2,2.5,6
0,2017.31420765027,"min10",879844,2,2.5,6
0,2017.22950819672,"mut_high",879844,2,3,6
0,2017.24590163934,"mut_high",879844,2,3,6
0,2017.27049180328,"mut_high",879844,2,3,6
0,2017.41530054645,"mut_high",879844,2,3,6
0,2017.67486338798,"mut_high",879844,2,3,6
0,2017.31420765027,"mut_high",879844,2,3,6
0,2017.22950819672,"mut_low",879844,2,3,6
0,2017.24590163934,"mut_low",879844,2,3,6
0,2017.27049180328,"mut_low",879844,2,3,6
0,2017.41530054645,"mut_low",879844,2,3,6
0,2017.67486338798,"mut_low",879844,2,3,6
0,2017.31420765027,"mut_low",879844,2,3,6
0,2017.22950819672,"difmax",879844,2,3,6
0,2017.24590163934,"difmax",879844,2,3,6
0,2017.27049180328,"difmax",879844,2,3,6
0,2017.41530054645,"difmax",879844,2,3,6
0,2017.67486338798,"difmax",879844,2,3,6
0,2017.31420765027,"difmax",879844,2,3,6
0,2017.22950819672,"difmin",879844,2,3,6
0,2017.24590163934,"difmin",879844,2,3,6
0,2017.27049180328,"difmin",879844,2,3,6
0,2017.41530054645,"difmin",879844,2,3,6
0,2017.67486338798,"difmin",879844,2,3,6
0,2017.31420765027,"difmin",879844,2,3,6
0,2017.22950819672,"max90",879844,2,3,6
0,2017.24590163934,"max90",879844,2,3,6
0,2017.27049180328,"max90",879844,2,3,6
0,2017.41530054645,"max90",879844,2,3,6
0,2017.67486338798,"max90",879844,2,3,6
0,2017.31420765027,"max90",879844,2,3,6
0,2017.22950819672,"min10",879844,2,3,6
0,2017.24590163934,"min10",879844,2,3,6
0,2017.27049180328,"min10",879844,2,3,6
0,2017.41530054645,"min10",879844,2,3,6
0,2017.67486338798,"min10",879844,2,3,6
0,2017.31420765027,"min10",879844,2,3,6
0,2017.22950819672,"mut_high",879844,3,1.5,6
0,2017.24590163934,"mut_high",879844,3,1.5,6
0,2017.27049180328,"mut_high",879844,3,1.5,6
1,2017.41530054645,"mut_high",879844,3,1.5,6
0,2017.67486338798,"mut_high",879844,3,1.5,6
0,2017.31420765027,"mut_high",879844,3,1.5,6
0,2017.22950819672,"mut_low",879844,3,1.5,6
0,2017.24590163934,"mut_low",879844,3,1.5,6
0,2017.27049180328,"mut_low",879844,3,1.5,6
0,2017.41530054645,"mut_low",879844,3,1.5,6
0,2017.67486338798,"mut_low",879844,3,1.5,6
1,2017.31420765027,"mut_low",879844,3,1.5,6
0,2017.22950819672,"difmax",879844,3,1.5,6
0,2017.24590163934,"difmax",879844,3,1.5,6
0,2017.27049180328,"difmax",879844,3,1.5,6
1,2017.41530054645,"difmax",879844,3,1.5,6
0,2017.67486338798,"difmax",879844,3,1.5,6
0,2017.31420765027,"difmax",879844,3,1.5,6
0,2017.22950819672,"difmin",879844,3,1.5,6
0,2017.24590163934,"difmin",879844,3,1.5,6
0,2017.27049180328,"difmin",879844,3,1.5,6
0,2017.41530054645,"difmin",879844,3,1.5,6
0,2017.67486338798,"difmin",879844,3,1.5,6
0,2017.31420765027,"difmin",879844,3,1.5,6
0,2017.22950819672,"max90",879844,3,1.5,6
0,2017.24590163934,"max90",879844,3,1.5,6
0,2017.27049180328,"max90",879844,3,1.5,6
1,2017.41530054645,"max90",879844,3,1.5,6
0,2017.67486338798,"max90",879844,3,1.5,6
0,2017.31420765027,"max90",879844,3,1.5,6
0,2017.22950819672,"min10",879844,3,1.5,6
0,2017.24590163934,"min10",879844,3,1.5,6
0,2017.27049180328,"min10",879844,3,1.5,6
0,2017.41530054645,"min10",879844,3,1.5,6
0,2017.67486338798,"min10",879844,3,1.5,6
1,2017.31420765027,"min10",879844,3,1.5,6
0,2017.22950819672,"mut_high",879844,3,2,6
0,2017.24590163934,"mut_high",879844,3,2,6
0,2017.27049180328,"mut_high",879844,3,2,6
0,2017.41530054645,"mut_high",879844,3,2,6
0,2017.67486338798,"mut_high",879844,3,2,6
0,2017.31420765027,"mut_high",879844,3,2,6
0,2017.22950819672,"mut_low",879844,3,2,6
0,2017.24590163934,"mut_low",879844,3,2,6
0,2017.27049180328,"mut_low",879844,3,2,6
0,2017.41530054645,"mut_low",879844,3,2,6
0,2017.67486338798,"mut_low",879844,3,2,6
0,2017.31420765027,"mut_low",879844,3,2,6
0,2017.22950819672,"difmax",879844,3,2,6
0,2017.24590163934,"difmax",879844,3,2,6
0,2017.27049180328,"difmax",879844,3,2,6
0,2017.41530054645,"difmax",879844,3,2,6
0,2017.67486338798,"difmax",879844,3,2,6
0,2017.31420765027,"difmax",879844,3,2,6
0,2017.22950819672,"difmin",879844,3,2,6
0,2017.24590163934,"difmin",879844,3,2,6
0,2017.27049180328,"difmin",879844,3,2,6
0,2017.41530054645,"difmin",879844,3,2,6
0,2017.67486338798,"difmin",879844,3,2,6
0,2017.31420765027,"difmin",879844,3,2,6
0,2017.22950819672,"max90",879844,3,2,6
0,2017.24590163934,"max90",879844,3,2,6
0,2017.27049180328,"max90",879844,3,2,6
0,2017.41530054645,"max90",879844,3,2,6
0,2017.67486338798,"max90",879844,3,2,6
0,2017.31420765027,"max90",879844,3,2,6
0,2017.22950819672,"min10",879844,3,2,6
0,2017.24590163934,"min10",879844,3,2,6
0,2017.27049180328,"min10",879844,3,2,6
0,2017.41530054645,"min10",879844,3,2,6
0,2017.67486338798,"min10",879844,3,2,6
0,2017.31420765027,"min10",879844,3,2,6
0,2017.22950819672,"mut_high",879844,3,2.5,6
0,2017.24590163934,"mut_high",879844,3,2.5,6
0,2017.27049180328,"mut_high",879844,3,2.5,6
0,2017.41530054645,"mut_high",879844,3,2.5,6
0,2017.67486338798,"mut_high",879844,3,2.5,6
0,2017.31420765027,"mut_high",879844,3,2.5,6
0,2017.22950819672,"mut_low",879844,3,2.5,6
0,2017.24590163934,"mut_low",879844,3,2.5,6
0,2017.27049180328,"mut_low",879844,3,2.5,6
0,2017.41530054645,"mut_low",879844,3,2.5,6
0,2017.67486338798,"mut_low",879844,3,2.5,6
0,2017.31420765027,"mut_low",879844,3,2.5,6
0,2017.22950819672,"difmax",879844,3,2.5,6
0,2017.24590163934,"difmax",879844,3,2.5,6
0,2017.27049180328,"difmax",879844,3,2.5,6
0,2017.41530054645,"difmax",879844,3,2.5,6
0,2017.67486338798,"difmax",879844,3,2.5,6
0,2017.31420765027,"difmax",879844,3,2.5,6
0,2017.22950819672,"difmin",879844,3,2.5,6
0,2017.24590163934,"difmin",879844,3,2.5,6
0,2017.27049180328,"difmin",879844,3,2.5,6
0,2017.41530054645,"difmin",879844,3,2.5,6
0,2017.67486338798,"difmin",879844,3,2.5,6
0,2017.31420765027,"difmin",879844,3,2.5,6
0,2017.22950819672,"max90",879844,3,2.5,6
0,2017.24590163934,"max90",879844,3,2.5,6
0,2017.27049180328,"max90",879844,3,2.5,6
0,2017.41530054645,"max90",879844,3,2.5,6
0,2017.67486338798,"max90",879844,3,2.5,6
0,2017.31420765027,"max90",879844,3,2.5,6
0,2017.22950819672,"min10",879844,3,2.5,6
0,2017.24590163934,"min10",879844,3,2.5,6
0,2017.27049180328,"min10",879844,3,2.5,6
0,2017.41530054645,"min10",879844,3,2.5,6
0,2017.67486338798,"min10",879844,3,2.5,6
0,2017.31420765027,"min10",879844,3,2.5,6
0,2017.22950819672,"mut_high",879844,3,3,6
0,2017.24590163934,"mut_high",879844,3,3,6
0,2017.27049180328,"mut_high",879844,3,3,6
0,2017.41530054645,"mut_high",879844,3,3,6
0,2017.67486338798,"mut_high",879844,3,3,6
0,2017.31420765027,"mut_high",879844,3,3,6
0,2017.22950819672,"mut_low",879844,3,3,6
0,2017.24590163934,"mut_low",879844,3,3,6
0,2017.27049180328,"mut_low",879844,3,3,6
0,2017.41530054645,"mut_low",879844,3,3,6
0,2017.67486338798,"mut_low",879844,3,3,6
0,2017.31420765027,"mut_low",879844,3,3,6
0,2017.22950819672,"difmax",879844,3,3,6
0,2017.24590163934,"difmax",879844,3,3,6
0,2017.27049180328,"difmax",879844,3,3,6
0,2017.41530054645,"difmax",879844,3,3,6
0,2017.67486338798,"difmax",879844,3,3,6
0,2017.31420765027,"difmax",879844,3,3,6
0,2017.22950819672,"difmin",879844,3,3,6
0,2017.24590163934,"difmin",879844,3,3,6
0,2017.27049180328,"difmin",879844,3,3,6
0,2017.41530054645,"difmin",879844,3,3,6
0,2017.67486338798,"difmin",879844,3,3,6
0,2017.31420765027,"difmin",879844,3,3,6
0,2017.22950819672,"max90",879844,3,3,6
0,2017.24590163934,"max90",879844,3,3,6
0,2017.27049180328,"max90",879844,3,3,6
0,2017.41530054645,"max90",879844,3,3,6
0,2017.67486338798,"max90",879844,3,3,6
0,2017.31420765027,"max90",879844,3,3,6
0,2017.22950819672,"min10",879844,3,3,6
0,2017.24590163934,"min10",879844,3,3,6
0,2017.27049180328,"min10",879844,3,3,6
0,2017.41530054645,"min10",879844,3,3,6
0,2017.67486338798,"min10",879844,3,3,6
0,2017.31420765027,"min10",879844,3,3,6
