"outlier","date","value","perceel","band","sd","nr_beelden"
0,2017.22950819672,"difmax",879606,1,3,21
0,2017.35792349727,"difmax",879606,1,3,21
0,2017.24590163934,"difmax",879606,1,3,21
0,2017.27049180328,"difmax",879606,1,3,21
0,2017.38797814208,"difmax",879606,1,3,21
0,2017.22131147541,"difmax",879606,1,3,21
0,2017.24590163934,"difmax",879606,1,3,21
0,2017.51912568306,"difmax",879606,1,3,21
0,2017.59836065574,"difmax",879606,1,3,21
0,2017.67486338798,"difmax",879606,1,3,21
0,2016.27049180328,"difmax",879606,1,3,21
0,2016.57103825137,"difmax",879606,1,3,21
NA,2016.59836065574,"difmax",879606,1,3,21
0,2016.65300546448,"difmax",879606,1,3,21
0,2016.70765027322,"difmax",879606,1,3,21
0,2016.77049180328,"difmax",879606,1,3,21
0,2016.81693989071,"difmax",879606,1,3,21
0,2017.50819672131,"difmax",879606,1,3,21
0,2017.6912568306,"difmax",879606,1,3,21
0,2017.69945355191,"difmax",879606,1,3,21
0,2017.69945355191,"difmax",879606,1,3,21
0,2017.22950819672,"difmin",879606,1,3,21
0,2017.35792349727,"difmin",879606,1,3,21
0,2017.24590163934,"difmin",879606,1,3,21
0,2017.27049180328,"difmin",879606,1,3,21
0,2017.38797814208,"difmin",879606,1,3,21
0,2017.22131147541,"difmin",879606,1,3,21
0,2017.24590163934,"difmin",879606,1,3,21
0,2017.51912568306,"difmin",879606,1,3,21
0,2017.59836065574,"difmin",879606,1,3,21
0,2017.67486338798,"difmin",879606,1,3,21
0,2016.27049180328,"difmin",879606,1,3,21
0,2016.57103825137,"difmin",879606,1,3,21
NA,2016.59836065574,"difmin",879606,1,3,21
0,2016.65300546448,"difmin",879606,1,3,21
0,2016.70765027322,"difmin",879606,1,3,21
0,2016.77049180328,"difmin",879606,1,3,21
0,2016.81693989071,"difmin",879606,1,3,21
0,2017.50819672131,"difmin",879606,1,3,21
0,2017.6912568306,"difmin",879606,1,3,21
0,2017.69945355191,"difmin",879606,1,3,21
0,2017.69945355191,"difmin",879606,1,3,21
0,2017.22950819672,"max90",879606,1,3,21
0,2017.35792349727,"max90",879606,1,3,21
0,2017.24590163934,"max90",879606,1,3,21
0,2017.27049180328,"max90",879606,1,3,21
0,2017.38797814208,"max90",879606,1,3,21
0,2017.22131147541,"max90",879606,1,3,21
0,2017.24590163934,"max90",879606,1,3,21
0,2017.51912568306,"max90",879606,1,3,21
0,2017.59836065574,"max90",879606,1,3,21
0,2017.67486338798,"max90",879606,1,3,21
0,2016.27049180328,"max90",879606,1,3,21
0,2016.57103825137,"max90",879606,1,3,21
NA,2016.59836065574,"max90",879606,1,3,21
0,2016.65300546448,"max90",879606,1,3,21
0,2016.70765027322,"max90",879606,1,3,21
0,2016.77049180328,"max90",879606,1,3,21
0,2016.81693989071,"max90",879606,1,3,21
1,2017.50819672131,"max90",879606,1,3,21
0,2017.6912568306,"max90",879606,1,3,21
0,2017.69945355191,"max90",879606,1,3,21
0,2017.69945355191,"max90",879606,1,3,21
0,2017.22950819672,"min10",879606,1,3,21
0,2017.35792349727,"min10",879606,1,3,21
0,2017.24590163934,"min10",879606,1,3,21
0,2017.27049180328,"min10",879606,1,3,21
0,2017.38797814208,"min10",879606,1,3,21
0,2017.22131147541,"min10",879606,1,3,21
0,2017.24590163934,"min10",879606,1,3,21
0,2017.51912568306,"min10",879606,1,3,21
0,2017.59836065574,"min10",879606,1,3,21
0,2017.67486338798,"min10",879606,1,3,21
0,2016.27049180328,"min10",879606,1,3,21
0,2016.57103825137,"min10",879606,1,3,21
NA,2016.59836065574,"min10",879606,1,3,21
1,2016.65300546448,"min10",879606,1,3,21
0,2016.70765027322,"min10",879606,1,3,21
0,2016.77049180328,"min10",879606,1,3,21
0,2016.81693989071,"min10",879606,1,3,21
0,2017.50819672131,"min10",879606,1,3,21
0,2017.6912568306,"min10",879606,1,3,21
0,2017.69945355191,"min10",879606,1,3,21
0,2017.69945355191,"min10",879606,1,3,21
1,2017.22950819672,"mut_high",879606,2,1.5,21
0,2017.35792349727,"mut_high",879606,2,1.5,21
0,2017.24590163934,"mut_high",879606,2,1.5,21
0,2017.27049180328,"mut_high",879606,2,1.5,21
1,2017.38797814208,"mut_high",879606,2,1.5,21
1,2017.22131147541,"mut_high",879606,2,1.5,21
0,2017.24590163934,"mut_high",879606,2,1.5,21
0,2017.51912568306,"mut_high",879606,2,1.5,21
0,2017.59836065574,"mut_high",879606,2,1.5,21
0,2017.67486338798,"mut_high",879606,2,1.5,21
0,2016.27049180328,"mut_high",879606,2,1.5,21
0,2016.57103825137,"mut_high",879606,2,1.5,21
0,2016.59836065574,"mut_high",879606,2,1.5,21
0,2016.65300546448,"mut_high",879606,2,1.5,21
0,2016.70765027322,"mut_high",879606,2,1.5,21
0,2016.77049180328,"mut_high",879606,2,1.5,21
0,2016.81693989071,"mut_high",879606,2,1.5,21
0,2017.50819672131,"mut_high",879606,2,1.5,21
0,2017.6912568306,"mut_high",879606,2,1.5,21
0,2017.69945355191,"mut_high",879606,2,1.5,21
0,2017.69945355191,"mut_high",879606,2,1.5,21
0,2017.22950819672,"mut_low",879606,2,1.5,21
0,2017.35792349727,"mut_low",879606,2,1.5,21
0,2017.24590163934,"mut_low",879606,2,1.5,21
0,2017.27049180328,"mut_low",879606,2,1.5,21
0,2017.38797814208,"mut_low",879606,2,1.5,21
0,2017.22131147541,"mut_low",879606,2,1.5,21
0,2017.24590163934,"mut_low",879606,2,1.5,21
0,2017.51912568306,"mut_low",879606,2,1.5,21
0,2017.59836065574,"mut_low",879606,2,1.5,21
0,2017.67486338798,"mut_low",879606,2,1.5,21
0,2016.27049180328,"mut_low",879606,2,1.5,21
0,2016.57103825137,"mut_low",879606,2,1.5,21
0,2016.59836065574,"mut_low",879606,2,1.5,21
1,2016.65300546448,"mut_low",879606,2,1.5,21
0,2016.70765027322,"mut_low",879606,2,1.5,21
0,2016.77049180328,"mut_low",879606,2,1.5,21
0,2016.81693989071,"mut_low",879606,2,1.5,21
0,2017.50819672131,"mut_low",879606,2,1.5,21
0,2017.6912568306,"mut_low",879606,2,1.5,21
0,2017.69945355191,"mut_low",879606,2,1.5,21
0,2017.69945355191,"mut_low",879606,2,1.5,21
0,2017.22950819672,"difmax",879606,2,1.5,21
0,2017.35792349727,"difmax",879606,2,1.5,21
0,2017.24590163934,"difmax",879606,2,1.5,21
0,2017.27049180328,"difmax",879606,2,1.5,21
1,2017.38797814208,"difmax",879606,2,1.5,21
1,2017.22131147541,"difmax",879606,2,1.5,21
0,2017.24590163934,"difmax",879606,2,1.5,21
