"agg15","agg20","agg25","agg30","cutoff","year","band","variable","nr_beelden","perceel"
0,0,0,0,0.5,2015,1,"mut_low",68,877219
0,0,0,0,0.5,2015,1,"mut_low",71,1576558
2,0,0,0,1,2015,1,"mut_low",73,1578117
0,0,0,0,0.5,2015,1,"mut_low",73,1584957
1,0,0,0,1,2015,1,"mut_low",67,1590448
0,0,0,0,0.5,2015,1,"mut_low",74,1591636
1,1,1,1,2.5,2015,1,"mut_low",73,1750897
1,1,0,0,1.5,2015,1,"mut_low",75,1787658
1,0,0,0,1,2015,1,"mut_low",72,1788190
0,0,0,0,0.5,2015,1,"mut_low",72,1793705
3,1,0,0,1.5,2015,1,"mut_low",72,1800413
