"agg15","agg20","agg25","agg30","cutoff","year","band","variable","nr_beelden","perceel"
2,1,1,0,2,2015,2,"mut_high",68,877219
0,0,0,0,0.5,2015,2,"mut_high",71,1576558
0,0,0,0,0.5,2015,2,"mut_high",73,1578117
0,0,0,0,0.5,2015,2,"mut_high",73,1584957
2,1,0,0,1.5,2015,2,"mut_high",67,1590448
2,1,1,0,2,2015,2,"mut_high",74,1591636
0,0,0,0,0.5,2015,2,"mut_high",73,1750897
0,0,0,0,0.5,2015,2,"mut_high",75,1787658
0,0,0,0,0.5,2015,2,"mut_high",72,1788190
0,0,0,0,0.5,2015,2,"mut_high",72,1793705
0,0,0,0,0.5,2015,2,"mut_high",72,1800413
