"agg15","agg20","agg25","agg30","cutoff","year","band","variable","nr_beelden","perceel"
0,0,0,0,0.5,2015,2,"difmin",68,877219
0,0,0,0,0.5,2015,2,"difmin",71,1576558
0,0,0,0,0.5,2015,2,"difmin",73,1578117
0,0,0,0,0.5,2015,2,"difmin",73,1584957
0,0,0,0,0.5,2015,2,"difmin",67,1590448
0,0,0,0,0.5,2015,2,"difmin",74,1591636
0,0,0,0,0.5,2015,2,"difmin",73,1750897
1,0,0,0,1,2015,2,"difmin",75,1787658
0,0,0,0,0.5,2015,2,"difmin",72,1788190
0,0,0,0,0.5,2015,2,"difmin",72,1793705
0,0,0,0,0.5,2015,2,"difmin",72,1800413
