"agg15","agg20","agg25","agg30","cutoff","year","band","variable","nr_beelden","perceel"
2,1,1,1,2.5,2015,1,"max90",68,877219
0,0,0,0,0.5,2015,1,"max90",71,1576558
0,0,0,0,0.5,2015,1,"max90",73,1578117
0,0,0,0,0.5,2015,1,"max90",73,1584957
0,0,0,0,0.5,2015,1,"max90",67,1590448
0,0,0,0,0.5,2015,1,"max90",74,1591636
0,0,0,0,0.5,2015,1,"max90",73,1750897
0,0,0,0,0.5,2015,1,"max90",75,1787658
0,0,0,0,0.5,2015,1,"max90",72,1788190
1,1,0,0,1.5,2015,1,"max90",72,1793705
0,0,0,0,0.5,2015,1,"max90",72,1800413
