"agg15","agg20","agg25","agg30","cutoff","year","band","variable","nr_beelden","perceel"
0,0,0,0,0.5,2017,3,"min10",16,865447
1,1,0,0,1.5,2017,3,"min10",9,876228
1,1,0,0,1.5,2017,3,"min10",9,876229
1,1,1,1,2.5,2017,3,"min10",23,876304
1,0,0,0,1,2017,3,"min10",68,877219
1,1,0,0,1.5,2017,3,"min10",9,877724
2,0,0,0,1,2017,3,"min10",21,879606
1,0,0,0,1,2017,3,"min10",6,879844
1,1,1,1,2.5,2017,3,"min10",71,1576558
4,2,1,0,2,2017,3,"min10",73,1578117
2,2,2,2,2.5,2017,3,"min10",73,1584957
2,0,0,0,1,2017,3,"min10",67,1590448
5,3,1,0,2,2017,3,"min10",74,1591636
3,2,0,0,1.5,2017,3,"min10",73,1750897
4,4,2,1,2.5,2017,3,"min10",75,1787658
2,1,0,0,1.5,2017,3,"min10",72,1788190
2,2,1,0,2,2017,3,"min10",72,1793705
4,2,1,1,2.5,2017,3,"min10",72,1800413
