"agg15","agg20","agg25","agg30","cutoff","year","band","variable","nr_beelden","perceel"
1,1,1,0,2,2015,2,"min10",68,877219
0,0,0,0,0.5,2015,2,"min10",71,1576558
0,0,0,0,0.5,2015,2,"min10",73,1578117
2,2,1,1,2.5,2015,2,"min10",73,1584957
0,0,0,0,0.5,2015,2,"min10",67,1590448
0,0,0,0,0.5,2015,2,"min10",74,1591636
0,0,0,0,0.5,2015,2,"min10",73,1750897
1,1,0,0,1.5,2015,2,"min10",75,1787658
0,0,0,0,0.5,2015,2,"min10",72,1788190
2,0,0,0,1,2015,2,"min10",72,1793705
1,0,0,0,1,2015,2,"min10",72,1800413
