"threshold","jaar","variabelen","allvar","band","TP","FP","FN","TN"
"1.5","2015","3_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","3","1","2","0"
"1.5","2015","4_5","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","1","0","0"
"1.5","2015","4_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","1","0","0"
"1.5","2015","5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","4","1","1","0"
"2","2015","1_2","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","2","1","3","0"
"2","2015","1_3","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","1","1","4","0"
"2","2015","1_4","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","2","1","3","0"
"2","2015","1_5","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","1","1","4","0"
"2","2015","1_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","2","1","3","0"
"2","2015","2_3","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","1","1","4","0"
"2","2015","2_4","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","2","1","3","0"
"2","2015","2_5","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","2","1","3","0"
"2","2015","2_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","3","1","2","0"
"2","2015","3_4","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","1","1","4","0"
"2","2015","3_5","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","1","1","4","0"
"2","2015","3_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","2","1","3","0"
"2","2015","4_5","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","2","1","3","0"
"2","2015","4_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","3","1","2","0"
"2","2015","5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","2","1","3","0"
"2.5","2015","1_2","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","0","1","5","0"
"2.5","2015","1_3","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","0","1","5","0"
"2.5","2015","1_4","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","0","1","5","0"
"2.5","2015","1_5","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","1","1","4","0"
"2.5","2015","1_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","1","1","4","0"
"2.5","2015","2_3","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","0","1","5","0"
"2.5","2015","2_4","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","0","1","5","0"
"2.5","2015","2_5","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","1","1","4","0"
"2.5","2015","2_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","1","1","4","0"
"2.5","2015","3_4","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","0","1","5","0"
"2.5","2015","3_5","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","1","1","4","0"
"2.5","2015","3_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","1","1","4","0"
"2.5","2015","4_5","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","1","1","4","0"
"2.5","2015","4_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","1","1","4","0"
"2.5","2015","5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","2","1","3","0"
"1","2016","1_2","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"1","2016","1_3","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"1","2016","1_4","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"1","2016","1_5","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"1","2016","1_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"1","2016","2_3","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","3","0","1"
"1","2016","2_4","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","3","0","1"
"1","2016","2_5","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"1","2016","2_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"1","2016","3_4","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","3","0","1"
"1","2016","3_5","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"1","2016","3_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"1","2016","4_5","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"1","2016","4_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"1","2016","5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"1.5","2016","1_2","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"1.5","2016","1_3","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"1.5","2016","1_4","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"1.5","2016","1_5","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"1.5","2016","1_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"1.5","2016","2_3","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","3","0","1"
"1.5","2016","2_4","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","3","0","1"
"1.5","2016","2_5","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"1.5","2016","2_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"1.5","2016","3_4","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","3","0","1"
"1.5","2016","3_5","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"1.5","2016","3_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"1.5","2016","4_5","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"1.5","2016","4_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"1.5","2016","5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"2","2016","1_2","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"2","2016","1_3","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","3","0","1"
"2","2016","1_4","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"2","2016","1_5","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","3","0","1"
"2","2016","1_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"2","2016","2_3","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","3","0","1"
"2","2016","2_4","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","3","0","1"
"2","2016","2_5","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"2","2016","2_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"2","2016","3_4","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","2","0","2"
"2","2016","3_5","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","3","0","1"
"2","2016","3_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"2","2016","4_5","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"2","2016","4_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"2","2016","5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"2.5","2016","1_2","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","3","0","1"
"2.5","2016","1_3","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","2","0","2"
"2.5","2016","1_4","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","2","0","2"
"2.5","2016","1_5","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","2","0","2"
"2.5","2016","1_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"2.5","2016","2_3","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","1","0","3"
"2.5","2016","2_4","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","2","0","2"
"2.5","2016","2_5","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","3","0","1"
"2.5","2016","2_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"2.5","2016","3_4","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","4","1","1","3"
"2.5","2016","3_5","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","2","0","2"
"2.5","2016","3_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"2.5","2016","4_5","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","2","0","2"
"2.5","2016","4_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"2.5","2016","5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
